Julian Waddy|propio|Hipsterlativo|105296|@alejoeder Aún se puede remontar. No dejemos que la ciudad caiga en malas manos ✊
El País Cali|propio|elpaiscali|648086|"Vamos a devolverle la autoridad y el orden a la movilidad en Cali. Que las motos no se movilicen por los andenes, que los carros no se pasen el semáforo en rojo. Ustedes que estudian en el sur tienen que ser ejemplares" @alejoeder #CicloDeDebatesCali2019
El País Cali|propio|elpaiscali|648086|"Nos toca hacer dos grandes parques en nuestros cerros para que la personas podamos hacer deporte y cuidar el medio ambiente": @alejoeder #CicloDeDebatesCali2019
Compromiso Ciudadano|retweet|compromisociu|14518|Es gracias a la educación que nuestra ciudad se va a disparar. Por eso creo tanto en su poder transformador. Vamos a romper las barreras sociales para potenciar capacidades y talentos. Por nuestros niños y jóvenes
Alejandro Eder|retweet|alejoeder|12967|"Mi propuesta es llegar a la Alcaldía como un candidato independiente; vamos a montar la Agencia Distrital de Infraestructura. No permitamos que se roben lo que es de todos" @alejoeder #CicloDeDebatesCali2019 https://t.co/RoMHh6bEce
El País Cali|propio|elpaiscali|648086|"Mi propuesta es llegar a la Alcaldía como un candidato independiente; vamos a montar la Agencia Distrital de Infraestructura. No permitamos que se roben lo que es de todos" @alejoeder #CicloDeDebatesCali2019 https://t.co/RoMHh6bEce
Sergio Fajardo|retweet|sergio_fajardo|1441366|#FelizMartes desde #Cali. Hoy madrugamos a la emisora de la Universidad Javeriana con @alejoeder para contarle a los caleños porqué es necesario que avancemos. https://t.co/Cek3dxd2fp
Compromiso Ciudadano|propio|compromisociu|14518|#FelizMartes desde #Cali. Hoy madrugamos a la emisora de la Universidad Javeriana con @alejoeder para contarle a los caleños porqué es necesario que avancemos. https://t.co/Cek3dxd2fp
Compromiso Ciudadano|retweet|compromisociu|14518|Hoy en @LaUFMInforma con @sergio_fajardo hablando de nuestra principal adhesión: la educación. https://t.co/MaJbX5JuAp
Ricardo Sabogal U|retweet|RicardoSabogalU|34825|Hoy les quiero oficializar la principal adhesión que tendrá mi campaña, que será con la educación. Quiero una sola Cali, y la educación será el vehículo principal para que todos los caleños nos unamos para transformar esta ciudad.
SantiagoLondoñoUribe|retweet|slondonouribe|18311|“Todo proyecto educativo pasa por la dignidad de los maestros y maestras” @sergio_fajardo 
Michel Maya|retweet|Michel_Maya|11501|Miércoles 14 de agosto, @Acopi_Valle invita al foro de candidatos a la Alcaldía de Cali @Michel_Maya @DanisRenteria @JorgeIvanOspina @robertoortizu @alejoeder @GinnaMarquez @luzmarina44 @JovenesChontico @jovenesconeder @JovenPodemos @luzangelapulido @LAMONJACALI https://t.co/yqJaE5nC0R
SantiagoLondoñoUribe|retweet|slondonouribe|18311|Orgulloso de presentar esta propuesta de @alejoeder que representa lo que nos soñamos como sociedad. Con educación vamos a avanzar en Cali. No se pierdan Facebook Live aquí https://t.co/STtbtR95s2. https://t.co/mCDva5YFpX
SantiagoLondoñoUribe|retweet|slondonouribe|18311|#Cali | "Si en Cali no le apostamos a la educación, estamos en la olla, @alejoeder lo tiene claro y por eso es la mejor persona para ser Alcalde de Cali". @sergio_fajardo https://t.co/YDHSzViXDI
Alejandro Eder|retweet|alejoeder|12967|#Cali | "Si en Cali no le apostamos a la educación, estamos en la olla, @alejoeder lo tiene claro y por eso es la mejor persona para ser Alcalde de Cali". @sergio_fajardo https://t.co/YDHSzViXDI
Alejandro Eder|retweet|alejoeder|12967|Orgulloso de presentar esta propuesta de @alejoeder que representa lo que nos soñamos como sociedad. Con educación vamos a avanzar en Cali. No se pierdan Facebook Live aquí https://t.co/STtbtR95s2. https://t.co/mCDva5YFpX
SantiagoLondoñoUribe|retweet|slondonouribe|18311|Hoy les quiero oficializar la principal adhesión que tendrá mi campaña, que será con la educación. Quiero una sola Cali, y la educación será el vehículo principal para que todos los caleños nos unamos para transformar esta ciudad.
Compromiso Ciudadano|retweet|compromisociu|14518|En el día internacional de la juventud, nosotros hablamos con los jóvenes caleños de educación, oportunidades y libertad. Cuando una persona se educa, es libre de elegir su camino. En Cali, vamos a transformar la sociedad con @alejoeder. https://t.co/DKWzDqw6ZR
Sergio Fajardo|propio|sergio_fajardo|1441366|En el día internacional de la juventud, nosotros hablamos con los jóvenes caleños de educación, oportunidades y libertad. Cuando una persona se educa, es libre de elegir su camino. En Cali, vamos a transformar la sociedad con @alejoeder. https://t.co/DKWzDqw6ZR
Compromiso Ciudadano|propio|compromisociu|14518|Estamos convencidos de que la educación es el motor para transformación de la sociedad. @alejoeder hoy presenta su propuesta de educación y así comprobamos que él es la mejor opción para la ciudad. #Avancemos https://t.co/WLUELnQcsH
